group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
search_no_match,128,300000,300000,elements,7257997.0,ns,3
search_no_match,128,300000,300000,elements,13318214.0,ns,6
search_no_match,128,300000,300000,elements,26125393.0,ns,9
search_no_match,128,300000,300000,elements,30593875.0,ns,12
search_no_match,128,300000,300000,elements,37325759.0,ns,15
search_no_match,128,300000,300000,elements,40244905.0,ns,18
search_no_match,128,300000,300000,elements,49143710.0,ns,21
search_no_match,128,300000,300000,elements,54521310.0,ns,24
search_no_match,128,300000,300000,elements,65353937.0,ns,27
search_no_match,128,300000,300000,elements,70620445.0,ns,30
search_no_match,128,300000,300000,elements,79510246.0,ns,33
search_no_match,128,300000,300000,elements,86177657.0,ns,36
search_no_match,128,300000,300000,elements,93996796.0,ns,39
search_no_match,128,300000,300000,elements,95281596.0,ns,42
search_no_match,128,300000,300000,elements,111527607.0,ns,45
search_no_match,128,300000,300000,elements,115132915.0,ns,48
search_no_match,128,300000,300000,elements,119785661.0,ns,51
search_no_match,128,300000,300000,elements,125289859.0,ns,54
search_no_match,128,300000,300000,elements,138355675.0,ns,57
search_no_match,128,300000,300000,elements,138359462.0,ns,60
search_no_match,128,300000,300000,elements,153810558.0,ns,63
search_no_match,128,300000,300000,elements,156199021.0,ns,66
search_no_match,128,300000,300000,elements,161425045.0,ns,69
search_no_match,128,300000,300000,elements,169940583.0,ns,72
search_no_match,128,300000,300000,elements,185675666.0,ns,75
search_no_match,128,300000,300000,elements,184266958.0,ns,78
search_no_match,128,300000,300000,elements,196636639.0,ns,81
search_no_match,128,300000,300000,elements,198627004.0,ns,84
search_no_match,128,300000,300000,elements,212646528.0,ns,87
search_no_match,128,300000,300000,elements,218980114.0,ns,90
search_no_match,128,300000,300000,elements,221839412.0,ns,93
search_no_match,128,300000,300000,elements,224998225.0,ns,96
search_no_match,128,300000,300000,elements,232447608.0,ns,99
search_no_match,128,300000,300000,elements,248399239.0,ns,102
search_no_match,128,300000,300000,elements,251303383.0,ns,105
search_no_match,128,300000,300000,elements,263969197.0,ns,108
search_no_match,128,300000,300000,elements,272808250.0,ns,111
search_no_match,128,300000,300000,elements,279938722.0,ns,114
search_no_match,128,300000,300000,elements,276325386.0,ns,117
search_no_match,128,300000,300000,elements,282840997.0,ns,120
search_no_match,128,300000,300000,elements,291892272.0,ns,123
search_no_match,128,300000,300000,elements,300120542.0,ns,126
search_no_match,128,300000,300000,elements,318056614.0,ns,129
search_no_match,128,300000,300000,elements,301933109.0,ns,132
search_no_match,128,300000,300000,elements,326625643.0,ns,135
search_no_match,128,300000,300000,elements,326802857.0,ns,138
search_no_match,128,300000,300000,elements,332237844.0,ns,141
search_no_match,128,300000,300000,elements,345236141.0,ns,144
search_no_match,128,300000,300000,elements,345314881.0,ns,147
search_no_match,128,300000,300000,elements,362037057.0,ns,150
search_no_match,128,300000,300000,elements,369237106.0,ns,153
search_no_match,128,300000,300000,elements,371615290.0,ns,156
